je_number,posting_date,account_code,account_name,account_type,debit_amount,credit_amount,description,posted_by,approval_status
JE01011,2023-03-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01012,2023-03-28,1100,Accounts Receivable,Asset,1461605.9200000002,0.0,Monthly revenue accrual,sys_batch,Approved
JE01012,2023-03-28,4001,Revenue - Product Sales,Revenue,0.0,1217878.33,Monthly product revenue,sys_batch,Approved
JE01012,2023-03-28,4100,Revenue - Service Fees,Revenue,0.0,243727.59,Monthly service revenue,sys_batch,Approved
JE01013,2023-03-28,5001,Cost of Goods Sold,Expense,731379.21,0.0,Monthly COGS,sys_batch,Approved
JE01013,2023-03-28,1001,Cash and Cash Equivalents,Asset,0.0,731379.21,COGS cash offset,sys_batch,Approved
JE01014,2023-03-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01014,2023-03-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01015,2023-04-28,5100,Salaries and Wages,Expense,421592.16,0.0,Monthly payroll,jsmith,Approved
JE01015,2023-04-28,2001,Accounts Payable,Liability,0.0,421592.16,Monthly payroll offset,jsmith,Approved
JE01016,2023-04-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01016,2023-04-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01017,2023-04-28,1100,Accounts Receivable,Asset,1649279.48,0.0,Monthly revenue accrual,sys_batch,Approved
JE01017,2023-04-28,4001,Revenue - Product Sales,Revenue,0.0,1319302.59,Monthly product revenue,sys_batch,Approved
JE01017,2023-04-28,4100,Revenue - Service Fees,Revenue,0.0,329976.89,Monthly service revenue,sys_batch,Approved
JE01018,2023-04-28,5001,Cost of Goods Sold,Expense,797510.7,0.0,Monthly COGS,sys_batch,Approved
JE01018,2023-04-28,1001,Cash and Cash Equivalents,Asset,0.0,797510.7,COGS cash offset,sys_batch,Approved
JE01019,2023-04-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01019,2023-04-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01020,2023-05-28,5100,Salaries and Wages,Expense,433226.44,0.0,Monthly payroll,jsmith,Approved
JE01020,2023-05-28,2001,Accounts Payable,Liability,0.0,433226.44,Monthly payroll offset,jsmith,Approved
JE01021,2023-05-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01021,2023-05-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01022,2023-05-28,1100,Accounts Receivable,Asset,1915445.5,0.0,Monthly revenue accrual,sys_batch,Approved
JE01022,2023-05-28,4001,Revenue - Product Sales,Revenue,0.0,1553559.41,Monthly product revenue,sys_batch,Approved
JE01022,2023-05-28,4100,Revenue - Service Fees,Revenue,0.0,361886.09,Monthly service revenue,sys_batch,Approved
JE01023,2023-05-28,5001,Cost of Goods Sold,Expense,855467.3,0.0,Monthly COGS,sys_batch,Approved
JE01023,2023-05-28,1001,Cash and Cash Equivalents,Asset,0.0,855467.3,COGS cash offset,sys_batch,Approved
JE01024,2023-05-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01024,2023-05-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01025,2023-06-28,5100,Salaries and Wages,Expense,468349.16,0.0,Monthly payroll,jsmith,Approved
JE01025,2023-06-28,2001,Accounts Payable,Liability,0.0,468349.16,Monthly payroll offset,jsmith,Approved
JE01026,2023-06-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01026,2023-06-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01027,2023-06-28,1100,Accounts Receivable,Asset,1886933.7399999998,0.0,Monthly revenue accrual,sys_batch,Approved
JE01027,2023-06-28,4001,Revenue - Product Sales,Revenue,0.0,1618883.64,Monthly product revenue,sys_batch,Approved
JE01027,2023-06-28,4100,Revenue - Service Fees,Revenue,0.0,268050.1,Monthly service revenue,sys_batch,Approved
JE01028,2023-06-28,5001,Cost of Goods Sold,Expense,915556.32,0.0,Monthly COGS,sys_batch,Approved
JE01028,2023-06-28,1001,Cash and Cash Equivalents,Asset,0.0,915556.32,COGS cash offset,sys_batch,Approved
JE01029,2023-06-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01029,2023-06-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01030,2023-07-28,5100,Salaries and Wages,Expense,477432.78,0.0,Monthly payroll,jsmith,Approved
JE01030,2023-07-28,2001,Accounts Payable,Liability,0.0,477432.78,Monthly payroll offset,jsmith,Approved
JE01031,2023-07-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01031,2023-07-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01032,2023-07-28,1100,Accounts Receivable,Asset,1620505.9,0.0,Monthly revenue accrual,sys_batch,Approved
JE01032,2023-07-28,4001,Revenue - Product Sales,Revenue,0.0,1401956.73,Monthly product revenue,sys_batch,Approved
JE01032,2023-07-28,4100,Revenue - Service Fees,Revenue,0.0,218549.17,Monthly service revenue,sys_batch,Approved
JE01033,2023-07-28,5001,Cost of Goods Sold,Expense,784635.42,0.0,Monthly COGS,sys_batch,Approved
JE01033,2023-07-28,1001,Cash and Cash Equivalents,Asset,0.0,784635.42,COGS cash offset,sys_batch,Approved
JE01034,2023-07-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01034,2023-07-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01035,2023-08-28,5100,Salaries and Wages,Expense,470849.66,0.0,Monthly payroll,jsmith,Approved
JE01035,2023-08-28,2001,Accounts Payable,Liability,0.0,470849.66,Monthly payroll offset,jsmith,Approved
JE01036,2023-08-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01036,2023-08-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01037,2023-08-28,1100,Accounts Receivable,Asset,1923661.27,0.0,Monthly revenue accrual,sys_batch,Approved
JE01037,2023-08-28,4001,Revenue - Product Sales,Revenue,0.0,1562235.62,Monthly product revenue,sys_batch,Approved
JE01037,2023-08-28,4100,Revenue - Service Fees,Revenue,0.0,361425.65,Monthly service revenue,sys_batch,Approved
JE01038,2023-08-28,5001,Cost of Goods Sold,Expense,973230.89,0.0,Monthly COGS,sys_batch,Approved
JE01038,2023-08-28,1001,Cash and Cash Equivalents,Asset,0.0,973230.89,COGS cash offset,sys_batch,Approved
JE01039,2023-08-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01039,2023-08-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01040,2023-09-28,5100,Salaries and Wages,Expense,452173.69,0.0,Monthly payroll,jsmith,Approved
JE01040,2023-09-28,2001,Accounts Payable,Liability,0.0,452173.69,Monthly payroll offset,jsmith,Approved
JE01041,2023-09-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01041,2023-09-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01042,2023-09-28,1100,Accounts Receivable,Asset,2059576.3399999999,0.0,Monthly revenue accrual,sys_batch,Approved
JE01042,2023-09-28,4001,Revenue - Product Sales,Revenue,0.0,1783869.46,Monthly product revenue,sys_batch,Approved
JE01042,2023-09-28,4100,Revenue - Service Fees,Revenue,0.0,275706.88,Monthly service revenue,sys_batch,Approved
JE01043,2023-09-28,5001,Cost of Goods Sold,Expense,1079605.05,0.0,Monthly COGS,sys_batch,Approved
JE01043,2023-09-28,1001,Cash and Cash Equivalents,Asset,0.0,1079605.05,COGS cash offset,sys_batch,Approved
JE01044,2023-09-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01044,2023-09-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01045,2023-10-28,5100,Salaries and Wages,Expense,469764.28,0.0,Monthly payroll,jsmith,Approved
JE01045,2023-10-28,2001,Accounts Payable,Liability,0.0,469764.28,Monthly payroll offset,jsmith,Approved
JE01046,2023-10-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01046,2023-10-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01047,2023-10-28,1100,Accounts Receivable,Asset,1943453.23,0.0,Monthly revenue accrual,sys_batch,Approved
JE01047,2023-10-28,4001,Revenue - Product Sales,Revenue,0.0,1571111.85,Monthly product revenue,sys_batch,Approved
JE01047,2023-10-28,4100,Revenue - Service Fees,Revenue,0.0,372341.38,Monthly service revenue,sys_batch,Approved
JE01048,2023-10-28,5001,Cost of Goods Sold,Expense,954820.0,0.0,Monthly COGS,sys_batch,Approved
JE01048,2023-10-28,1001,Cash and Cash Equivalents,Asset,0.0,954820.0,COGS cash offset,sys_batch,Approved
JE01049,2023-10-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01049,2023-10-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01050,2023-11-28,5100,Salaries and Wages,Expense,462274.31,0.0,Monthly payroll,jsmith,Approved
JE01050,2023-11-28,2001,Accounts Payable,Liability,0.0,462274.31,Monthly payroll offset,jsmith,Approved
JE01051,2023-11-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01051,2023-11-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01052,2023-11-28,1100,Accounts Receivable,Asset,1473074.2899999998,0.0,Monthly revenue accrual,sys_batch,Approved
JE01052,2023-11-28,4001,Revenue - Product Sales,Revenue,0.0,1227494.63,Monthly product revenue,sys_batch,Approved
JE01052,2023-11-28,4100,Revenue - Service Fees,Revenue,0.0,245579.66,Monthly service revenue,sys_batch,Approved
JE01053,2023-11-28,5001,Cost of Goods Sold,Expense,710644.26,0.0,Monthly COGS,sys_batch,Approved
JE01053,2023-11-28,1001,Cash and Cash Equivalents,Asset,0.0,710644.26,COGS cash offset,sys_batch,Approved
JE01054,2023-11-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01054,2023-11-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01055,2023-12-28,5100,Salaries and Wages,Expense,424787.52,0.0,Monthly payroll,jsmith,Approved
JE01055,2023-12-28,2001,Accounts Payable,Liability,0.0,424787.52,Monthly payroll offset,jsmith,Approved
JE01056,2023-12-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01056,2023-12-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01057,2023-12-28,1100,Accounts Receivable,Asset,1559874.82,0.0,Monthly revenue accrual,sys_batch,Approved
JE01057,2023-12-28,4001,Revenue - Product Sales,Revenue,0.0,1339674.53,Monthly product revenue,sys_batch,Approved
JE01057,2023-12-28,4100,Revenue - Service Fees,Revenue,0.0,220200.29,Monthly service revenue,sys_batch,Approved
JE01058,2023-12-28,5001,Cost of Goods Sold,Expense,774060.41,0.0,Monthly COGS,sys_batch,Approved
JE01058,2023-12-28,1001,Cash and Cash Equivalents,Asset,0.0,774060.41,COGS cash offset,sys_batch,Approved
JE01059,2023-12-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01059,2023-12-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01060,2023-07-01,5500,Professional Fees,Expense,14662.94,0.0,Invoice - V012,lpJonas,Approved
JE01060,2023-07-01,2001,Accounts Payable,Liability,0.0,14662.94,AP offset - V012,lpJonas,Approved
JE01061,2023-12-16,5500,Professional Fees,Expense,59952.91,0.0,Invoice - V009,nmokoena,Approved
JE01061,2023-12-16,2001,Accounts Payable,Liability,0.0,59952.91,AP offset - V009,nmokoena,Approved
JE01062,2023-03-29,5800,Miscellaneous Expense,Expense,52167.0,0.0,Invoice - V003,nmokoena,Approved
JE01062,2023-03-29,2001,Accounts Payable,Liability,0.0,52167.0,AP offset - V003,nmokoena,Approved
JE01063,2023-07-14,5300,Utilities Expense,Expense,14725.81,0.0,Invoice - V008,avanwyk,Approved
JE01063,2023-07-14,2001,Accounts Payable,Liability,0.0,14725.81,AP offset - V008,avanwyk,Approved
JE01064,2023-06-16,5001,Cost of Goods Sold,Expense,19447.67,0.0,Invoice - V020,lpJonas,Approved
JE01064,2023-06-16,2001,Accounts Payable,Liability,0.0,19447.67,AP offset - V020,lpJonas,Approved
JE01065,2023-06-11,5300,Utilities Expense,Expense,70031.42,0.0,Invoice - V008,avanwyk,Approved
JE01065,2023-06-11,2001,Accounts Payable,Liability,0.0,70031.42,AP offset - V008,avanwyk,Approved
JE01066,2023-10-18,5500,Professional Fees,Expense,6559.84,0.0,Invoice - V009,nmokoena,Approved
JE01066,2023-10-18,2001,Accounts Payable,Liability,0.0,6559.84,AP offset - V009,nmokoena,Approved
JE01067,2023-09-13,5600,Travel and Entertainment,Expense,18860.63,0.0,Invoice - V011,avanwyk,Approved
JE01067,2023-09-13,2001,Accounts Payable,Liability,0.0,18860.63,AP offset - V011,avanwyk,Approved
JE01068,2023-03-13,5500,Professional Fees,Expense,13001.21,0.0,Invoice - V016,lpJonas,Approved
JE01068,2023-03-13,2001,Accounts Payable,Liability,0.0,13001.21,AP offset - V016,lpJonas,Approved
JE01069,2023-10-27,5001,Cost of Goods Sold,Expense,46274.09,0.0,Invoice - V020,avanwyk,Approved
JE01069,2023-10-27,2001,Accounts Payable,Liability,0.0,46274.09,AP offset - V020,avanwyk,Approved
JE01070,2023-03-12,5001,Cost of Goods Sold,Expense,31407.7,0.0,Invoice - V013,nmokoena,Approved
JE01070,2023-03-12,2001,Accounts Payable,Liability,0.0,31407.7,AP offset - V013,nmokoena,Approved
JE01071,2023-01-25,5001,Cost of Goods Sold,Expense,8636.39,0.0,Invoice - V017,lpJonas,Approved
JE01071,2023-01-25,2001,Accounts Payable,Liability,0.0,8636.39,AP offset - V017,lpJonas,Approved
JE01072,2023-12-15,5500,Professional Fees,Expense,53705.47,0.0,Invoice - V005,avanwyk,Approved
JE01072,2023-12-15,2001,Accounts Payable,Liability,0.0,53705.47,AP offset - V005,avanwyk,Approved
JE01073,2023-11-02,5800,Miscellaneous Expense,Expense,33320.45,0.0,Invoice - V003,avanwyk,Approved
JE01073,2023-11-02,2001,Accounts Payable,Liability,0.0,33320.45,AP offset - V003,avanwyk,Approved
JE01074,2023-10-11,5500,Professional Fees,Expense,22118.79,0.0,Invoice - V019,lpJonas,Approved
JE01074,2023-10-11,2001,Accounts Payable,Liability,0.0,22118.79,AP offset - V019,lpJonas,Approved
JE01075,2023-10-02,5500,Professional Fees,Expense,58263.67,0.0,Invoice - V004,avanwyk,Approved
JE01075,2023-10-02,2001,Accounts Payable,Liability,0.0,58263.67,AP offset - V004,avanwyk,Approved
JE01076,2023-08-11,5600,Travel and Entertainment,Expense,10370.38,0.0,Invoice - V011,lpJonas,Approved
JE01076,2023-08-11,2001,Accounts Payable,Liability,0.0,10370.38,AP offset - V011,lpJonas,Approved
JE01077,2023-05-15,5500,Professional Fees,Expense,1272.61,0.0,Invoice - V016,nmokoena,Approved
JE01077,2023-05-15,2001,Accounts Payable,Liability,0.0,1272.61,AP offset - V016,nmokoena,Approved
JE01078,2023-02-24,5400,Marketing and Advertising,Expense,43645.26,0.0,Invoice - V006,nmokoena,Approved
JE01078,2023-02-24,2001,Accounts Payable,Liability,0.0,43645.26,AP offset - V006,nmokoena,Approved
JE01079,2023-09-17,5200,Rent Expense,Expense,71700.23,0.0,Invoice - V010,nmokoena,Approved
JE01079,2023-09-17,2001,Accounts Payable,Liability,0.0,71700.23,AP offset - V010,nmokoena,Approved
JE01080,2023-03-24,5600,Travel and Entertainment,Expense,13838.5,0.0,Invoice - V007,nmokoena,Approved
JE01080,2023-03-24,2001,Accounts Payable,Liability,0.0,13838.5,AP offset - V007,nmokoena,Approved
JE01081,2023-11-03,5500,Professional Fees,Expense,78153.45,0.0,Invoice - V019,avanwyk,Approved
JE01081,2023-11-03,2001,Accounts Payable,Liability,0.0,78153.45,AP offset - V019,avanwyk,Approved
JE01082,2023-07-05,5001,Cost of Goods Sold,Expense,2636.05,0.0,Invoice - V017,avanwyk,Approved
JE01082,2023-07-05,2001,Accounts Payable,Liability,0.0,2636.05,AP offset - V017,avanwyk,Approved
JE01083,2023-10-18,5300,Utilities Expense,Expense,5865.71,0.0,Invoice - V008,lpJonas,Approved
JE01083,2023-10-18,2001,Accounts Payable,Liability,0.0,5865.71,AP offset - V008,lpJonas,Approved
JE01084,2023-02-05,5800,Miscellaneous Expense,Expense,62480.24,0.0,Invoice - V003,nmokoena,Approved
JE01084,2023-02-05,2001,Accounts Payable,Liability,0.0,62480.24,AP offset - V003,nmokoena,Approved
JE01085,2023-09-01,5500,Professional Fees,Expense,11784.88,0.0,Invoice - V005,nmokoena,Approved
JE01085,2023-09-01,2001,Accounts Payable,Liability,0.0,11784.88,AP offset - V005,nmokoena,Approved
JE01086,2023-11-07,5400,Marketing and Advertising,Expense,23264.76,0.0,Invoice - V006,avanwyk,Approved
JE01086,2023-11-07,2001,Accounts Payable,Liability,0.0,23264.76,AP offset - V006,avanwyk,Approved
JE01087,2023-12-20,5600,Travel and Entertainment,Expense,79028.73,0.0,Invoice - V007,lpJonas,Approved
JE01087,2023-12-20,2001,Accounts Payable,Liability,0.0,79028.73,AP offset - V007,lpJonas,Approved
JE01088,2023-12-10,5200,Rent Expense,Expense,34515.35,0.0,Invoice - V010,nmokoena,Approved
JE01088,2023-12-10,2001,Accounts Payable,Liability,0.0,34515.35,AP offset - V010,nmokoena,Approved
JE01089,2023-09-22,5500,Professional Fees,Expense,37800.41,0.0,Invoice - V012,avanwyk,Approved
JE01089,2023-09-22,2001,Accounts Payable,Liability,0.0,37800.41,AP offset - V012,avanwyk,Approved
JE01090,2023-02-02,5500,Professional Fees,Expense,21824.07,0.0,Invoice - V004,avanwyk,Approved
JE01090,2023-02-02,2001,Accounts Payable,Liability,0.0,21824.07,AP offset - V004,avanwyk,Approved
JE01091,2023-04-28,5800,Miscellaneous Expense,Expense,50417.93,0.0,Invoice - V001,nmokoena,Approved
JE01091,2023-04-28,2001,Accounts Payable,Liability,0.0,50417.93,AP offset - V001,nmokoena,Approved
JE01092,2023-12-29,5300,Utilities Expense,Expense,1604.03,0.0,Invoice - V008,nmokoena,Approved
JE01092,2023-12-29,2001,Accounts Payable,Liability,0.0,1604.03,AP offset - V008,nmokoena,Approved
JE01093,2023-01-17,5001,Cost of Goods Sold,Expense,20231.11,0.0,Invoice - V002,avanwyk,Approved
JE01093,2023-01-17,2001,Accounts Payable,Liability,0.0,20231.11,AP offset - V002,avanwyk,Approved
JE01094,2023-05-23,5800,Miscellaneous Expense,Expense,44189.11,0.0,Invoice - V003,nmokoena,Approved
JE01094,2023-05-23,2001,Accounts Payable,Liability,0.0,44189.11,AP offset - V003,nmokoena,Approved
JE01095,2023-03-09,5001,Cost of Goods Sold,Expense,18995.89,0.0,Invoice - V017,nmokoena,Approved
JE01095,2023-03-09,2001,Accounts Payable,Liability,0.0,18995.89,AP offset - V017,nmokoena,Approved
JE01096,2023-08-31,5001,Cost of Goods Sold,Expense,21411.77,0.0,Invoice - V017,avanwyk,Approved
JE01096,2023-08-31,2001,Accounts Payable,Liability,0.0,21411.77,AP offset - V017,avanwyk,Approved
JE01097,2023-12-04,5600,Travel and Entertainment,Expense,8923.37,0.0,Invoice - V007,avanwyk,Approved
JE01097,2023-12-04,2001,Accounts Payable,Liability,0.0,8923.37,AP offset - V007,avanwyk,Approved
JE01098,2023-08-28,5500,Professional Fees,Expense,36580.6,0.0,Invoice - V012,nmokoena,Approved
JE01098,2023-08-28,2001,Accounts Payable,Liability,0.0,36580.6,AP offset - V012,nmokoena,Approved
JE01099,2023-11-27,5001,Cost of Goods Sold,Expense,57562.62,0.0,Invoice - V002,lpJonas,Approved
JE01099,2023-11-27,2001,Accounts Payable,Liability,0.0,57562.62,AP offset - V002,lpJonas,Approved
JE01100,2023-06-23,5001,Cost of Goods Sold,Expense,34820.19,0.0,Invoice - V002,lpJonas,Approved
JE01100,2023-06-23,2001,Accounts Payable,Liability,0.0,34820.19,AP offset - V002,lpJonas,Approved
JE01101,2023-10-02,5300,Utilities Expense,Expense,17093.57,0.0,Invoice - V008,avanwyk,Approved
JE01101,2023-10-02,2001,Accounts Payable,Liability,0.0,17093.57,AP offset - V008,avanwyk,Approved
JE01102,2023-05-23,5500,Professional Fees,Expense,36438.06,0.0,Invoice - V005,avanwyk,Approved
JE01102,2023-05-23,2001,Accounts Payable,Liability,0.0,36438.06,AP offset - V005,avanwyk,Approved
JE01103,2023-02-08,5300,Utilities Expense,Expense,74456.82,0.0,Invoice - V008,avanwyk,Approved
JE01103,2023-02-08,2001,Accounts Payable,Liability,0.0,74456.82,AP offset - V008,avanwyk,Approved
JE01104,2023-11-30,5001,Cost of Goods Sold,Expense,9224.33,0.0,Invoice - V020,nmokoena,Approved
JE01104,2023-11-30,2001,Accounts Payable,Liability,0.0,9224.33,AP offset - V020,nmokoena,Approved
JE01105,2023-05-02,5800,Miscellaneous Expense,Expense,82395.69,0.0,Invoice - V001,lpJonas,Approved
JE01105,2023-05-02,2001,Accounts Payable,Liability,0.0,82395.69,AP offset - V001,lpJonas,Approved
JE01106,2023-04-20,5400,Marketing and Advertising,Expense,41793.85,0.0,Invoice - V015,avanwyk,Approved
JE01106,2023-04-20,2001,Accounts Payable,Liability,0.0,41793.85,AP offset - V015,avanwyk,Approved
JE01107,2023-01-02,5001,Cost of Goods Sold,Expense,14829.52,0.0,Invoice - V002,avanwyk,Approved
JE01107,2023-01-02,2001,Accounts Payable,Liability,0.0,14829.52,AP offset - V002,avanwyk,Approved
JE01108,2023-08-21,5500,Professional Fees,Expense,78827.52,0.0,Invoice - V009,avanwyk,Approved
JE01108,2023-08-21,2001,Accounts Payable,Liability,0.0,78827.52,AP offset - V009,avanwyk,Approved
JE01109,2023-10-12,5400,Marketing and Advertising,Expense,59513.69,0.0,Invoice - V015,nmokoena,Approved
JE01109,2023-10-12,2001,Accounts Payable,Liability,0.0,59513.69,AP offset - V015,nmokoena,Approved
JE01110,2023-06-01,5001,Cost of Goods Sold,Expense,14002.93,0.0,Invoice - V017,lpJonas,Approved
JE01110,2023-06-01,2001,Accounts Payable,Liability,0.0,14002.93,AP offset - V017,lpJonas,Approved
JE01111,2023-10-05,5001,Cost of Goods Sold,Expense,49651.14,0.0,Invoice - V002,lpJonas,Approved
JE01111,2023-10-05,2001,Accounts Payable,Liability,0.0,49651.14,AP offset - V002,lpJonas,Approved
JE01112,2023-10-27,5600,Travel and Entertainment,Expense,5801.88,0.0,Invoice - V011,avanwyk,Approved
JE01112,2023-10-27,2001,Accounts Payable,Liability,0.0,5801.88,AP offset - V011,avanwyk,Approved
JE01113,2023-09-29,5500,Professional Fees,Expense,78228.52,0.0,Invoice - V019,lpJonas,Approved
JE01113,2023-09-29,2001,Accounts Payable,Liability,0.0,78228.52,AP offset - V019,lpJonas,Approved
JE01114,2023-02-11,5001,Cost of Goods Sold,Expense,81705.43,0.0,Invoice - V002,lpJonas,Approved
JE01114,2023-02-11,2001,Accounts Payable,Liability,0.0,81705.43,AP offset - V002,lpJonas,Approved
JE01115,2023-12-12,5800,Miscellaneous Expense,Expense,50982.95,0.0,Invoice - V003,lpJonas,Approved
JE01115,2023-12-12,2001,Accounts Payable,Liability,0.0,50982.95,AP offset - V003,lpJonas,Approved
JE01116,2023-10-19,5001,Cost of Goods Sold,Expense,11070.48,0.0,Invoice - V013,lpJonas,Approved
JE01116,2023-10-19,2001,Accounts Payable,Liability,0.0,11070.48,AP offset - V013,lpJonas,Approved
JE01117,2023-08-03,5001,Cost of Goods Sold,Expense,53028.05,0.0,Invoice - V002,nmokoena,Approved
