je_number,business_unit,cost_center,manual_journal_flag,supporting_doc_attached,prior_period_adjustment,segregation_of_duties_flag,risk_rating
JE01051,Operations,CC-201,Yes,Yes,No,No,Low
JE01052,Sales,CC-301,No,Yes,No,No,Low
JE01053,Procurement,CC-402,No,Yes,No,No,Medium
JE01054,Finance,CC-101,Yes,Yes,No,Yes,Medium
JE01055,Human Resources,CC-601,Yes,Yes,No,No,
JE01056,Operations,CC-202,Yes,Yes,No,Yes,Medium
JE01057,Sales,CC-301,No,Yes,No,No,Low
JE01058,Procurement,CC-401,No,Yes,No,No,
JE01059,Finance,CC-101,Yes,Yes,No,No,Low
JE01060,Finance,CC-101,Yes,No,No,Yes,High
JE01061,Finance,CC-101,Yes,No,No,No,
JE01062,Operations,CC-201,Yes,Yes,No,No,Low
JE01063,Operations,CC-202,Yes,Yes,No,Yes,Medium
JE01064,Procurement,CC-401,Yes,Yes,No,No,Low
JE01065,Operations,CC-201,Yes,Yes,No,Yes,Medium
JE01066,Finance,CC-102,Yes,Yes,No,No,Low
JE01067,Marketing,CC-501,Yes,Yes,No,No,Low
JE01068,Finance,CC-101,Yes,Yes,No,No,Low
JE01069,Procurement,CC-402,Yes,Yes,Yes,No,Medium
JE01070,Procurement,CC-402,Yes,No,No,No,
JE01071,Procurement,CC-401,Yes,Yes,No,No,
JE01072,Finance,CC-102,Yes,Yes,No,No,Low
JE01073,Operations,CC-202,Yes,Yes,No,No,
JE01074,Finance,CC-101,Yes,Yes,No,No,
JE01075,Finance,CC-102,Yes,No,No,No,Low
JE01076,Marketing,CC-501,Yes,Yes,No,No,
JE01077,Finance,CC-102,Yes,No,No,No,Medium
JE01078,Marketing,CC-501,Yes,No,No,No,
JE01079,Operations,CC-201,Yes,No,No,Yes,
JE01080,Marketing,CC-501,Yes,Yes,No,No,Low
JE01081,Finance,CC-102,Yes,Yes,Yes,No,Low
JE01082,Procurement,CC-402,Yes,Yes,No,No,Low
JE01083,Operations,CC-202,Yes,Yes,No,No,
JE01084,Operations,CC-201,Yes,No,No,No,Medium
JE01085,Finance,CC-102,Yes,No,No,No,
JE01086,Marketing,CC-501,Yes,Yes,No,No,Low
JE01087,Marketing,CC-501,Yes,Yes,No,No,Low
JE01088,Operations,CC-201,Yes,No,Yes,Yes,High
JE01089,Finance,CC-102,Yes,Yes,No,No,
JE01090,Finance,CC-102,Yes,Yes,No,No,Low
JE01091,Operations,CC-201,Yes,Yes,No,No,Low
JE01092,Operations,CC-201,Yes,Yes,No,Yes,
JE01093,Procurement,CC-401,Yes,Yes,Yes,Yes,Medium
JE01094,Operations,CC-201,Yes,Yes,No,No,Low
JE01095,Procurement,CC-402,Yes,Yes,No,No,
JE01096,Procurement,CC-401,Yes,Yes,No,No,Low
JE01097,Marketing,CC-501,Yes,No,No,No,Low
JE01098,Finance,CC-101,Yes,Yes,Yes,No,
JE01099,Procurement,CC-402,Yes,Yes,No,No,Low
JE01100,Procurement,CC-401,Yes,Yes,Yes,No,
JE01101,Operations,CC-201,Yes,Yes,No,No,Low
JE01102,Finance,CC-101,Yes,Yes,No,No,Low
JE01103,Operations,CC-202,Yes,Yes,No,No,
JE01104,Procurement,CC-401,Yes,Yes,No,Yes,Medium
JE01105,Operations,CC-202,Yes,Yes,No,No,
JE01106,Marketing,CC-501,Yes,Yes,No,No,Low
JE01107,Procurement,CC-401,Yes,Yes,No,No,Low
JE01108,Finance,CC-102,Yes,Yes,No,No,
JE01109,Marketing,CC-501,Yes,No,No,Yes,Medium
JE01110,Procurement,CC-401,Yes,Yes,No,No,Low
JE01111,Procurement,CC-402,Yes,Yes,No,No,
JE01112,Marketing,CC-501,Yes,Yes,No,No,Low
JE01113,Finance,CC-102,Yes,Yes,No,No,Low
JE01114,Procurement,CC-402,Yes,Yes,Yes,Yes,High
JE01115,Operations,CC-202,Yes,Yes,No,No,Low
JE01116,Procurement,CC-401,Yes,Yes,Yes,No,Low
JE01117,Procurement,CC-401,Yes,No,No,Yes,
JE01118,Finance,CC-102,Yes,No,No,No,High
JE01119,Marketing,CC-501,Yes,No,No,Yes,High
JE01120,Operations,CC-202,Yes,Yes,No,No,Low
JE01121,Finance,CC-101,Yes,No,No,No,
JE01122,Operations,CC-202,Yes,No,No,No,
JE01123,Finance,CC-101,Yes,No,Yes,No,High
JE01124,Finance,CC-101,Yes,No,No,Yes,High
JE01125,Operations,CC-201,Yes,Yes,No,No,Low
JE01126,Operations,CC-202,Yes,Yes,No,No,
JE01127,Finance,CC-101,Yes,Yes,No,No,Low
JE01128,Finance,CC-101,Yes,Yes,No,No,Low
JE01129,Finance,CC-101,Yes,Yes,No,No,Low
JE01130,Marketing,CC-501,Yes,Yes,No,No,Low
JE01131,Finance,CC-101,Yes,Yes,No,No,
JE01132,Marketing,CC-501,Yes,Yes,No,Yes,Medium
JE01133,Marketing,CC-501,Yes,Yes,No,No,
JE01134,Marketing,CC-501,Yes,Yes,No,No,Low
JE01135,Marketing,CC-501,Yes,No,No,No,Low
JE01136,Finance,CC-101,Yes,Yes,No,No,
JE01137,Procurement,CC-402,Yes,Yes,No,No,Low
JE01138,Operations,CC-202,Yes,No,No,Yes,
JE01139,Marketing,CC-501,Yes,Yes,No,No,Low
JE01140,Finance,CC-101,Yes,Yes,Yes,No,
JE01141,Finance,CC-101,Yes,Yes,No,No,
JE01142,Marketing,CC-501,Yes,Yes,No,Yes,Medium
JE01143,Marketing,CC-501,Yes,No,No,No,Medium
JE01144,Operations,CC-202,Yes,No,No,No,Medium
JE01145,Procurement,CC-402,Yes,Yes,No,Yes,Medium
JE01146,Marketing,CC-501,Yes,Yes,No,No,
JE01147,Operations,CC-201,Yes,Yes,No,No,Low
JE01148,Operations,CC-202,Yes,Yes,No,No,
JE01149,Finance,CC-101,Yes,Yes,No,No,Low
JE01150,Finance,CC-101,Yes,Yes,No,No,
JE01151,Operations,CC-201,Yes,No,No,No,
JE01152,Finance,CC-102,Yes,Yes,No,No,Low
JE01153,Finance,CC-101,Yes,No,No,Yes,High
JE01154,Finance,CC-101,Yes,Yes,No,No,Low
JE01155,Finance,CC-102,Yes,No,No,No,Medium
JE01156,Finance,CC-101,Yes,Yes,No,No,Low
JE01157,Marketing,CC-501,Yes,No,No,Yes,High
JE01158,Marketing,CC-501,Yes,Yes,Yes,No,Low
JE01159,Operations,CC-202,Yes,No,No,No,Medium
JE01160,Marketing,CC-501,Yes,Yes,No,No,Low
JE01161,Finance,CC-101,Yes,Yes,No,No,Low
JE01162,Marketing,CC-501,Yes,Yes,No,Yes,
JE01163,Procurement,CC-401,Yes,Yes,No,Yes,Low
JE01164,Marketing,CC-501,Yes,Yes,No,No,Low
JE01165,Marketing,CC-501,Yes,Yes,No,No,Low
JE01166,Marketing,CC-501,Yes,Yes,No,No,Low
JE01167,Operations,CC-201,Yes,Yes,No,No,Low
JE01168,Marketing,CC-501,Yes,Yes,No,No,Low
JE01169,Operations,CC-202,Yes,Yes,No,No,Low
JE01170,Operations,CC-202,Yes,Yes,No,No,Low
JE01171,Operations,CC-201,Yes,Yes,No,Yes,
JE01172,Marketing,CC-501,Yes,No,No,Yes,High
JE01173,Procurement,CC-401,Yes,No,No,Yes,High
JE01174,Operations,CC-202,Yes,Yes,No,No,
JE01175,Operations,CC-201,Yes,Yes,No,No,Medium
JE01176,Finance,CC-101,Yes,Yes,No,No,Low
JE01177,Finance,CC-101,Yes,No,No,Yes,High
JE01178,Finance,CC-102,Yes,Yes,No,No,Low
JE01179,Finance,CC-101,Yes,Yes,No,No,Medium
JE01180,Procurement,CC-402,Yes,Yes,No,No,Low
JE01181,Procurement,CC-401,Yes,No,No,Yes,High
JE01182,Finance,CC-101,Yes,Yes,No,Yes,Medium
JE01183,Operations,CC-202,Yes,Yes,No,Yes,Medium
JE01184,Operations,CC-201,Yes,No,No,No,
JE01185,Procurement,CC-402,Yes,No,No,Yes,High
JE01186,Procurement,CC-402,Yes,Yes,No,No,
JE01187,Operations,CC-202,Yes,Yes,No,No,Low
JE01188,Finance,CC-102,Yes,No,No,No,Medium
JE01189,Procurement,CC-401,Yes,Yes,No,No,Low
JE01190,Operations,CC-201,Yes,No,No,Yes,High
JE01191,Procurement,CC-401,Yes,Yes,No,No,Low
JE01192,Procurement,CC-402,Yes,Yes,No,No,Low
JE01193,Procurement,CC-402,Yes,No,No,No,Medium
JE01194,Operations,CC-201,Yes,Yes,No,No,Low
JE01195,Procurement,CC-401,Yes,Yes,No,No,Low
JE01196,Marketing,CC-501,Yes,Yes,No,Yes,Medium
JE01197,Procurement,CC-402,Yes,Yes,No,No,Low
JE01198,Operations,CC-201,Yes,Yes,No,No,Low
JE01199,Finance,CC-101,Yes,No,No,No,
JE01200,Marketing,CC-501,Yes,Yes,No,No,Medium
JE01201,Procurement,CC-402,Yes,Yes,No,No,Low
JE01202,Operations,CC-201,Yes,Yes,No,No,Low
JE01203,Finance,CC-101,Yes,No,No,Yes,High
JE01204,Procurement,CC-401,Yes,No,No,Yes,High
JE01205,Operations,CC-201,Yes,Yes,No,No,Low
JE01206,Procurement,CC-401,Yes,Yes,No,No,Low
JE01207,Finance,CC-102,Yes,Yes,No,Yes,Medium
JE01208,Finance,CC-102,Yes,No,No,Yes,High
JE01209,Finance,CC-102,Yes,Yes,No,No,
JE01210,Procurement,CC-401,Yes,Yes,No,Yes,
JE01211,Operations,CC-202,Yes,No,No,Yes,High
JE01212,Finance,CC-101,Yes,Yes,No,No,
JE01213,Finance,CC-101,Yes,Yes,No,No,Low
JE01214,Operations,CC-201,Yes,No,No,No,
JE01215,Marketing,CC-501,Yes,Yes,No,No,Low
JE01216,Finance,CC-101,Yes,Yes,No,No,Low
JE01217,Finance,CC-102,Yes,Yes,No,No,Low
JE01218,Finance,CC-102,Yes,Yes,No,No,Low
JE01219,Finance,CC-101,Yes,Yes,Yes,No,Low
JE01220,Marketing,CC-501,Yes,Yes,No,No,Low
JE01221,Finance,CC-101,Yes,No,Yes,No,
JE01222,Procurement,CC-401,Yes,Yes,No,No,
JE01223,Marketing,CC-501,Yes,No,No,Yes,High
JE01224,Marketing,CC-501,Yes,Yes,No,No,
JE01225,Finance,CC-102,Yes,Yes,No,No,Low
JE01226,Operations,CC-202,Yes,Yes,No,No,
JE01227,Procurement,CC-402,Yes,Yes,No,Yes,Medium
JE01228,Procurement,CC-401,Yes,Yes,Yes,Yes,Medium
JE01229,Operations,CC-202,Yes,Yes,No,No,Low
JE01230,Operations,CC-202,Yes,No,No,No,Medium
JE01231,Procurement,CC-401,Yes,Yes,No,Yes,
JE01232,Procurement,CC-402,Yes,Yes,No,No,Low
JE01233,Finance,CC-102,Yes,No,No,Yes,
JE01234,Marketing,CC-501,Yes,Yes,No,No,Low
JE01235,Marketing,CC-501,Yes,Yes,No,Yes,Medium
JE01236,Finance,CC-101,Yes,Yes,No,Yes,Low
JE01237,Operations,CC-201,Yes,No,No,Yes,High
JE01238,Operations,CC-201,Yes,Yes,No,No,Low
JE01239,Procurement,CC-401,Yes,Yes,No,No,Low
JE01240,Finance,CC-101,Yes,No,No,No,Medium
JE01241,Operations,CC-202,Yes,Yes,No,No,Low
JE01242,Finance,CC-101,Yes,Yes,No,No,Low
JE01243,Procurement,CC-401,Yes,Yes,No,No,Low
JE01244,Procurement,CC-402,Yes,Yes,No,No,
JE01245,Procurement,CC-401,Yes,Yes,No,No,Low
JE01246,Operations,CC-201,Yes,Yes,No,No,Low
JE01247,Marketing,CC-501,Yes,Yes,No,No,
JE01248,Finance,CC-102,Yes,Yes,No,Yes,Low
JE01249,Marketing,CC-501,Yes,No,No,No,Medium
JE01250,Finance,CC-102,Yes,Yes,No,No,Low
JE01251,Marketing,CC-501,Yes,Yes,No,No,
JE01252,Operations,CC-201,Yes,Yes,Yes,No,Low
JE01253,Operations,CC-201,Yes,Yes,No,No,
JE01254,Procurement,CC-401,Yes,No,No,No,Medium
JE01255,Operations,CC-202,Yes,Yes,No,Yes,Low
JE01256,Operations,CC-201,Yes,Yes,No,No,Low
JE01257,Marketing,CC-501,Yes,Yes,No,No,Low
JE01258,Finance,CC-102,Yes,Yes,Yes,No,Low
JE01259,Procurement,CC-401,Yes,Yes,No,No,
JE01260,Operations,CC-202,Yes,Yes,No,Yes,Medium
JE01261,Operations,CC-201,Yes,No,No,Yes,
JE01262,Procurement,CC-401,Yes,No,No,No,
JE01263,Procurement,CC-401,Yes,Yes,No,No,Low
JE01264,Finance,CC-101,Yes,Yes,No,No,Low
JE01265,Operations,CC-202,Yes,Yes,No,No,Low
JE01266,Procurement,CC-401,Yes,Yes,No,No,Low
JE01267,Finance,CC-101,Yes,Yes,No,Yes,
JE01268,Marketing,CC-501,Yes,No,No,Yes,High
JE01269,Procurement,CC-401,Yes,Yes,No,No,
JE01270,Finance,CC-102,Yes,No,No,Yes,High
JE01271,Procurement,CC-402,Yes,Yes,No,No,Low
JE01272,Procurement,CC-401,Yes,Yes,No,Yes,Medium
JE01273,Marketing,CC-501,Yes,Yes,No,No,Low
JE01274,Operations,CC-201,Yes,Yes,No,No,Low
JE01275,Marketing,CC-501,Yes,Yes,No,No,Medium
JE01276,Procurement,CC-401,Yes,Yes,No,No,Low
JE01277,Finance,CC-102,Yes,Yes,No,Yes,Medium
JE01278,Procurement,CC-401,Yes,No,No,Yes,High
JE01279,Operations,CC-202,Yes,Yes,No,No,Low
JE01280,Operations,CC-202,Yes,Yes,No,Yes,Medium
JE01281,Finance,CC-102,Yes,Yes,No,No,Low
JE01282,Finance,CC-101,Yes,Yes,No,No,Low
JE01283,Finance,CC-102,Yes,Yes,No,No,
JE01284,Operations,CC-201,Yes,Yes,No,No,Low
JE01285,Marketing,CC-501,Yes,Yes,No,No,Low
JE01286,Finance,CC-101,Yes,Yes,No,No,
JE01287,Marketing,CC-501,Yes,No,No,No,Medium
JE01288,Operations,CC-201,Yes,Yes,No,No,Low
JE01289,Procurement,CC-402,Yes,Yes,No,No,Low
JE01290,Procurement,CC-402,Yes,Yes,No,No,Low
JE01291,Procurement,CC-401,Yes,Yes,No,No,Low
JE01292,Operations,CC-202,Yes,Yes,No,Yes,
JE01293,Procurement,CC-402,Yes,Yes,No,No,Low
JE01294,Procurement,CC-401,Yes,Yes,No,No,Low
JE01295,Finance,CC-102,Yes,Yes,No,No,Low
JE01296,Finance,CC-101,Yes,No,No,No,Medium
JE01297,Finance,CC-101,Yes,No,No,No,Medium
JE01298,Finance,CC-102,Yes,No,No,No,
JE01299,Operations,CC-202,Yes,Yes,No,No,Low
JE01300,Procurement,CC-402,Yes,No,No,No,Medium
JE01301,Procurement,CC-402,Yes,Yes,No,No,Low
JE01302,Procurement,CC-402,Yes,Yes,No,No,Low
JE01303,Operations,CC-202,Yes,Yes,No,Yes,Medium
JE01304,Operations,CC-201,Yes,Yes,No,No,Low
JE01305,Finance,CC-101,Yes,Yes,No,No,Low
JE01306,Operations,CC-202,Yes,No,Yes,Yes,High
JE01307,Finance,CC-102,Yes,Yes,No,No,
JE01308,Finance,CC-101,Yes,No,No,Yes,High
JE01309,Marketing,CC-501,Yes,Yes,No,No,Low
JE01310,Operations,CC-202,Yes,Yes,No,No,Low
JE01311,Operations,CC-201,Yes,Yes,No,No,
JE01312,Finance,CC-102,Yes,No,No,Yes,High
JE01313,Procurement,CC-402,Yes,Yes,No,No,
JE01314,Operations,CC-201,Yes,No,No,No,Medium
JE01315,Finance,CC-102,Yes,No,No,No,Medium
JE01316,Procurement,CC-401,Yes,Yes,No,Yes,Medium
JE01317,Procurement,CC-401,Yes,No,No,Yes,High
JE01318,Operations,CC-202,Yes,Yes,No,Yes,Medium
JE01319,Finance,CC-101,Yes,Yes,No,No,Low
JE01320,Procurement,CC-401,Yes,Yes,No,No,Low
JE01321,Operations,CC-202,Yes,Yes,No,No,
JE01322,Marketing,CC-501,Yes,Yes,No,No,Low
JE01323,Finance,CC-101,Yes,Yes,No,Yes,
JE01324,Procurement,CC-401,Yes,Yes,Yes,No,Low
JE01325,Finance,CC-101,Yes,Yes,No,Yes,Medium
JE01326,Marketing,CC-501,Yes,Yes,No,No,Low
JE01327,Finance,CC-101,Yes,Yes,No,No,
JE01328,Finance,CC-101,Yes,Yes,No,No,Medium
JE01329,Procurement,CC-401,Yes,Yes,No,No,Low
JE01330,Marketing,CC-501,Yes,Yes,No,No,Low
JE01331,Finance,CC-102,Yes,Yes,No,Yes,Low
JE01332,Procurement,CC-402,Yes,Yes,No,No,Low
JE01333,Operations,CC-201,Yes,No,No,Yes,High
JE01334,Procurement,CC-402,Yes,Yes,No,No,Medium
JE01335,Finance,CC-102,Yes,Yes,No,Yes,Medium
JE01336,Finance,CC-101,Yes,Yes,No,No,Low
JE01337,Procurement,CC-401,Yes,No,No,No,Low
JE01338,Operations,CC-201,Yes,No,No,No,Medium
JE01339,Operations,CC-201,Yes,No,No,No,Medium
JE01340,Procurement,CC-401,Yes,Yes,No,No,Low
JE01341,Finance,CC-101,Yes,Yes,Yes,Yes,Medium
JE01342,Procurement,CC-401,Yes,No,No,No,
JE01343,Procurement,CC-401,Yes,Yes,No,No,Low
JE01344,Finance,CC-101,Yes,Yes,No,Yes,Medium
JE01345,Finance,CC-102,Yes,No,No,Yes,High
JE01346,Finance,CC-102,Yes,Yes,No,No,Low
JE01347,Finance,CC-102,Yes,No,No,Yes,High
JE01348,Finance,CC-102,Yes,Yes,No,No,Low
JE01349,Finance,CC-102,Yes,Yes,No,No,Low
JE01350,Marketing,CC-501,Yes,Yes,No,No,Low
JE01351,Procurement,CC-402,Yes,Yes,No,No,Low
JE01352,Marketing,CC-501,Yes,Yes,No,No,Low
JE01353,Marketing,CC-501,Yes,No,No,Yes,High
JE01354,Finance,CC-101,Yes,Yes,No,No,Low
JE01355,Finance,CC-101,Yes,Yes,No,No,Low
JE01356,Procurement,CC-401,Yes,Yes,No,Yes,Medium
JE01357,Operations,CC-201,Yes,Yes,No,No,Low
JE01358,Marketing,CC-501,Yes,Yes,No,No,Low
JE01359,Finance,CC-101,Yes,Yes,No,No,Low
JE01360,Operations,CC-202,Yes,No,No,Yes,High
JE01361,Operations,CC-202,Yes,No,No,No,Medium
JE01362,Operations,CC-201,Yes,Yes,Yes,Yes,
JE01363,Operations,CC-201,Yes,Yes,No,No,Medium
JE01364,Operations,CC-202,Yes,No,No,No,
JE01365,Marketing,CC-501,Yes,Yes,No,No,
JE01366,Marketing,CC-501,Yes,Yes,Yes,Yes,High
JE01367,Marketing,CC-501,Yes,Yes,No,No,Medium
JE01368,Marketing,CC-501,Yes,No,No,Yes,High
JE01369,Marketing,CC-501,Yes,No,No,Yes,High
JE01370,Finance,CC-101,Yes,No,No,No,High
JE01371,Finance,CC-101,Yes,No,No,No,
JE01372,Finance,CC-101,Yes,Yes,No,Yes,High
JE01373,Finance,CC-101,Yes,No,Yes,No,High
JE01374,Finance,CC-101,Yes,Yes,No,Yes,
JE01375,Finance,CC-102,Yes,No,No,No,High
JE01376,Operations,CC-202,Yes,No,No,Yes,High
JE01377,Operations,CC-201,Yes,No,No,No,High
JE01378,Operations,CC-202,Yes,No,No,Yes,High
JE01379,Operations,CC-201,Yes,No,No,No,Medium
JE01380,Operations,CC-202,Yes,No,No,No,Medium
JE01381,Operations,CC-201,Yes,No,No,No,Medium
JE01382,Operations,CC-201,Yes,No,No,No,Medium
